Transaction ID,Date,Opportunity Amount,Type,Customer ID,Sales Agent,Opportunity stage,Opportunity status,Amount closed
107,2023-01-02,8578.49,Renewal,51768,Agent C,Proposal,On Hold,35502.92
280,2023-01-04,32185.3,Sale,31262,Agent A,Qualification,Open,25841.65
147,2023-01-05,24368.11,Sale,40391,Agent D,Proposal,Lost,2987.9
9,2023-01-11,5929.29,Renewal,45300,Agent C,Qualification,Open,9661.81
130,2023-01-13,39983.34,Upgrade,92283,Agent C,Prospecting,Open,15546.52
213,2023-01-13,10196.79,Contract,21908,Agent D,Negotiation,Lost,25326.58
184,2023-01-15,22929.54,Upgrade,12352,Agent D,Negotiation,Lost,9842.6
170,2023-01-18,12224.25,Renewal,48986,Agent A,Qualification,Lost,38489.45
154,2023-01-21,48038.26,Contract,81627,Agent D,Proposal,Lost,25724.02
109,2023-01-25,35242.15,Upgrade,76666,Agent A,Prospecting,Open,15863.01
201,2023-01-26,19701.54,Upgrade,45349,Agent C,Qualification,Won,34224.93
267,2023-01-27,33529.9,Upgrade,52160,Agent C,Negotiation,Open,30717.31
25,2023-01-27,16427.37,Contract,28670,Agent A,Prospecting,On Hold,24670.35
174,2023-01-27,31594.29,Upgrade,97701,Agent D,Proposal,On Hold,48950.55
222,2023-01-29,7938.69,Renewal,56670,Agent A,Proposal,Won,43784.61
240,2023-01-29,20683.37,Contract,78829,Agent B,Prospecting,Lost,3329.82
51,2023-01-30,29848.66,Sale,84675,Agent D,Proposal,On Hold,49171.7
229,2023-01-31,28278.88,Sale,83914,Agent C,Negotiation,On Hold,33650.51
273,2023-01-31,49748.04,Sale,31540,Agent C,Closing,Lost,42634.45
45,2023-02-02,21002.57,Sale,32708,Agent A,Prospecting,Lost,13577.55
62,2023-02-02,31388.46,Sale,24707,Agent D,Prospecting,Won,32140.17
212,2023-02-03,5541.63,Renewal,47328,Agent D,Negotiation,Lost,17330.39
44,2023-02-03,26962.53,Renewal,19635,Agent B,Qualification,Lost,45820.95
134,2023-02-03,17276.99,Sale,50719,Agent B,Closing,Won,9699.54
248,2023-02-04,9765.78,Upgrade,46967,Agent B,Negotiation,Won,12014.62
231,2023-02-06,29960.95,Upgrade,79502,Agent C,Prospecting,Won,9265.65
125,2023-02-07,13151.79,Sale,60512,Agent D,Qualification,Won,24548.32
252,2023-02-07,7626.04,Contract,82652,Agent C,Qualification,Open,22811.13
56,2023-02-09,9513.23,Upgrade,46151,Agent A,Closing,Open,33894.75
289,2023-02-10,29843.52,Sale,83784,Agent A,Negotiation,On Hold,21011.68
19,2023-02-10,13353.62,Contract,27553,Agent B,Prospecting,On Hold,26698.9
191,2023-02-11,20991.6,Contract,88438,Agent D,Qualification,Won,45958.55
122,2023-02-12,36303.15,Contract,64772,Agent B,Qualification,On Hold,49128.69
189,2023-02-12,6498.71,Sale,33299,Agent B,Negotiation,Won,45770.38
61,2023-02-13,17677.85,Contract,70533,Agent A,Prospecting,Lost,812.64
140,2023-02-13,8463.04,Renewal,62026,Agent A,Prospecting,Won,42441.65
105,2023-02-13,39676.13,Sale,78129,Agent A,Qualification,Won,38596.54
108,2023-02-14,9032.14,Contract,36952,Agent A,Qualification,On Hold,39493.48
295,2023-02-14,18967.14,Contract,15912,Agent B,Qualification,Lost,15509.77
128,2023-02-14,36364.88,Sale,36418,Agent A,Qualification,Won,45324.71
211,2023-02-14,10897.49,Contract,99283,Agent A,Prospecting,Lost,9666.73
245,2023-02-15,18345.03,Contract,41949,Agent D,Proposal,On Hold,33584.49
283,2023-02-15,48550.76,Renewal,66131,Agent D,Negotiation,Won,44982.59
2,2023-02-18,25416.36,Upgrade,74433,Agent B,Proposal,Won,33682.66
79,2023-02-18,20625.51,Upgrade,23596,Agent D,Negotiation,On Hold,18720.7
91,2023-02-19,9403.0,Sale,10131,Agent C,Negotiation,Won,22339.67
120,2023-02-21,25526.33,Sale,54428,Agent C,Proposal,Open,46157.95
73,2023-02-24,33370.16,Sale,70027,Agent A,Proposal,Lost,1902.23
55,2023-02-24,15837.3,Upgrade,87690,Agent D,Proposal,Won,38452.35
65,2023-02-28,48987.28,Contract,23195,Agent C,Prospecting,Open,16073.65
123,2023-03-01,17758.35,Upgrade,51808,Agent C,Qualification,On Hold,43772.57
242,2023-03-04,49347.11,Upgrade,88848,Agent A,Qualification,Open,7654.84
113,2023-03-05,43724.8,Sale,81071,Agent A,Qualification,Lost,27796.88
230,2023-03-10,24084.0,Sale,65167,Agent B,Qualification,Won,40090.79
202,2023-03-10,15473.49,Upgrade,40302,Agent C,Qualification,Lost,20866.66
93,2023-03-12,48781.38,Sale,69864,Agent A,Negotiation,Won,11091.2
281,2023-03-12,22226.36,Renewal,23304,Agent B,Prospecting,Lost,49146.32
15,2023-03-13,33304.18,Renewal,72997,Agent B,Prospecting,Won,14937.52
27,2023-03-15,28319.03,Sale,97051,Agent A,Proposal,Lost,23052.51
233,2023-03-16,36795.86,Contract,15596,Agent B,Prospecting,Open,25999.25
142,2023-03-20,18806.45,Renewal,28701,Agent A,Prospecting,Won,49917.74
188,2023-03-22,43206.72,Contract,85025,Agent C,Prospecting,Won,35685.89
257,2023-03-23,21843.33,Contract,45364,Agent B,Negotiation,Open,20023.49
133,2023-03-23,31441.98,Sale,95398,Agent D,Closing,Open,6921.84
116,2023-03-25,10916.73,Sale,74799,Agent A,Proposal,Won,45412.42
70,2023-03-25,47719.35,Contract,60973,Agent A,Negotiation,Open,41523.82
176,2023-03-26,25575.06,Upgrade,51333,Agent A,Qualification,Lost,29335.86
296,2023-03-26,21786.57,Upgrade,30594,Agent B,Prospecting,Won,25771.65
75,2023-03-27,18185.91,Renewal,56783,Agent C,Closing,On Hold,33358.44
166,2023-03-29,19747.42,Renewal,61473,Agent D,Qualification,On Hold,2043.74
127,2023-03-29,7558.16,Sale,52113,Agent B,Negotiation,On Hold,36907.58
14,2023-03-30,42397.18,Upgrade,40306,Agent B,Closing,Open,15827.06
20,2023-03-30,47875.62,Renewal,30441,Agent A,Closing,Open,47210.14
22,2023-03-31,14697.85,Sale,91508,Agent A,Qualification,Won,5334.12
16,2023-03-31,44269.28,Sale,22180,Agent C,Negotiation,Lost,12753.19
247,2023-03-31,16223.9,Sale,72013,Agent D,Proposal,Won,47984.78
71,2023-04-03,47362.0,Renewal,86745,Agent D,Prospecting,Won,2895.46
287,2023-04-03,45354.25,Contract,96451,Agent B,Negotiation,Open,5478.48
298,2023-04-05,38776.78,Renewal,16592,Agent A,Negotiation,Won,11562.75
98,2023-04-06,8649.56,Upgrade,76827,Agent A,Qualification,Open,27549.7
148,2023-04-06,27950.76,Upgrade,40955,Agent A,Closing,Won,17513.56
155,2023-04-07,13420.89,Renewal,44381,Agent B,Qualification,Won,27343.41
96,2023-04-07,39832.13,Upgrade,45695,Agent A,Prospecting,Lost,33360.74
104,2023-04-10,5514.24,Contract,86304,Agent C,Closing,Lost,30063.86
112,2023-04-10,30081.6,Upgrade,96935,Agent C,Closing,On Hold,44049.9
34,2023-04-11,31405.3,Renewal,78134,Agent D,Qualification,Lost,35220.08
72,2023-04-11,40964.12,Sale,17228,Agent D,Qualification,On Hold,14569.44
214,2023-04-16,32831.61,Contract,35700,Agent D,Proposal,Won,31473.06
60,2023-04-17,40331.88,Sale,63752,Agent C,Qualification,Won,42148.66
167,2023-04-21,39055.04,Upgrade,11344,Agent C,Qualification,On Hold,12891.08
173,2023-04-22,25616.25,Upgrade,62214,Agent B,Proposal,On Hold,36015.96
220,2023-04-23,27063.74,Upgrade,16437,Agent A,Qualification,On Hold,38901.94
195,2023-04-23,23056.68,Sale,49603,Agent A,Prospecting,Lost,49532.58
